,0,0
0,Opencl,0.6790816458371274
1,Vulkan,0.21206448023898583
2,G3,0.31915050887835567
3,G2,0.5185976608559997
4,RP,0.9639800341686398
5,RTDP,0.4917539728706951
6,Opencl*Opencl,0.8291885176627157
7,Vulkan*Opencl,0.17583079964387524
8,Vulkan*Vulkan,0.3300634252402736
9,G3*Opencl,0.14549400432049325
10,G3*Vulkan,0.2382768199212746
11,G3*G3,0.16980230760418424
12,G2*Opencl,0.3040703789788787
13,G2*Vulkan,0.08001147511243471
14,G2*G3,0.32255062065711904
15,G2*G2,0.1708404553547023
16,RP*Opencl,2.3784566931916737
17,RP*Vulkan,0.4618841644393479
18,RP*G3,1.176391751702117
19,RP*G2,0.33146536490758405
20,RP*RP,0.36414859697478175
21,RTDP*Opencl,1.7067235355129002
22,RTDP*Vulkan,0.47512292875476064
23,RTDP*G3,1.2283241085859051
24,RTDP*G2,0.1454561304427348
25,RTDP*RP,0.7109761564840107
26,RTDP*RTDP,0.7901000188337073
27,Opencl*Opencl*Opencl,1.2763764386476324
28,Opencl*Opencl*Vulkan,0.4157111823419408
29,Opencl*Opencl*G3,0.9582836720482685
30,Opencl*Opencl*G2,0.943561967198055
31,Opencl*Opencl*RP,0.7463131575400792
32,Opencl*Opencl*RTDP,0.8769798606856286
33,Opencl*Vulkan*Vulkan,0.41832247759607627
34,Opencl*Vulkan*G3,0.04080899091103207
35,Opencl*Vulkan*G2,0.24587996456955308
36,Opencl*Vulkan*RP,0.6803490838843294
37,Opencl*Vulkan*RTDP,0.2397253460731889
38,Opencl*G3*G3,0.36524881216102234
39,Opencl*G3*G2,0.23147943720184683
40,Opencl*G3*RP,0.17430324505880207
41,Opencl*G3*RTDP,1.1343935290905764
42,Opencl*G2*G2,0.009473437036885647
43,Opencl*G2*RP,0.7338902850716146
44,Opencl*G2*RTDP,1.1433757299452143
45,Opencl*RP*RP,0.7458140376726401
46,Opencl*RP*RTDP,0.8168896087236269
47,Opencl*RTDP*RTDP,0.6515792219077643
48,Vulkan*Vulkan*Vulkan,1.2438839505023642
49,Vulkan*Vulkan*G3,0.8792012192607881
50,Vulkan*Vulkan*G2,0.3499090550950646
51,Vulkan*Vulkan*RP,0.9671201648943915
52,Vulkan*Vulkan*RTDP,0.8968212899586768
53,Vulkan*G3*G3,0.536199997462909
54,Vulkan*G3*G2,0.2683934331308629
55,Vulkan*G3*RP,0.3977801182497502
56,Vulkan*G3*RTDP,0.35586221426304254
57,Vulkan*G2*G2,0.23497259536639173
58,Vulkan*G2*RP,1.2654712097354894
59,Vulkan*G2*RTDP,1.6076362518752336
60,Vulkan*RP*RP,1.214958648530034
61,Vulkan*RP*RTDP,0.8268965891460053
62,Vulkan*RTDP*RTDP,1.4533423461406294
63,G3*G3*G3,0.3035159631778751
64,G3*G3*G2,0.2649872846221763
65,G3*G3*RP,0.08280353251932039
66,G3*G3*RTDP,0.2556193674002941
67,G3*G2*G2,0.21994460408548494
68,G3*G2*RP,0.15372543105181394
69,G3*G2*RTDP,0.16848927623858673
70,G3*RP*RP,0.9484074210968363
71,G3*RP*RTDP,0.010779919737030751
72,G3*RTDP*RTDP,1.4789390008417609
73,G2*G2*G2,0.17222615758580026
74,G2*G2*RP,0.9825941387266581
75,G2*G2*RTDP,0.41742683835740413
76,G2*RP*RP,1.3951101446511454
77,G2*RP*RTDP,0.11072667375507653
78,G2*RTDP*RTDP,0.40510179399305046
79,RP*RP*RP,1.0537896997606515
80,RP*RP*RTDP,0.5259361995856136
81,RP*RTDP*RTDP,0.00961871496243657
82,RTDP*RTDP*RTDP,0.2904734097339918
